Price,Close,High,Low,Open,Volume,Return,SMA20,SMA50,Signal,Strategy_Return,Market_Cumulative,Strategy_Cumulative
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,,,,,,
Date,,,,,,,,,,,,
2023-04-10,159.5691680908203,159.5691680908203,157.6487867222166,158.96843186504725,47716900,-0.015972217125270083,156.92001571655274,151.38110870361328,1,-0.015972217125270083,0.8967596504656627,0.8233598319812028
2023-04-11,158.35784912109375,159.89415417908276,158.07224508795338,159.88431146406083,47644200,-0.0075911843385504385,157.42867050170898,151.67837371826172,1,-0.0075911843385504385,0.8899521826516038,0.8171095557196756
2023-04-12,157.66848754882812,159.59871163720814,157.35334033527027,158.77147274218814,50133100,-0.004353188528965712,157.79846878051757,152.0194741821289,1,-0.004353188528965712,0.8860780530187569,0.8135525237748085
2023-04-13,163.0455322265625,163.28189260314673,158.96840964951016,159.17522685740187,68445600,0.0341034835897005,158.41742324829102,152.44274627685547,1,0.0341034835897005,0.9162964013590758,0.8412974989187221
2023-04-14,162.7008514404297,163.79399372639534,161.33196290458474,162.09025757823102,49386500,-0.0021140155233070335,158.87831344604493,152.83670471191405,1,-0.0021140155233070335,0.9143593365426523,0.8395189829462885
2023-04-17,162.7205810546875,162.87815467656333,161.53880894471416,162.58270789230806,41516200,0.00012126312851545862,159.38204650878907,153.12505676269532,1,0.00012126312851545862,0.9144702146163888,0.8396207856446086
2023-04-18,163.9417724609375,164.86749880941898,163.13421882858577,163.57739656817114,49923000,0.007504836808808868,159.82866134643555,153.36546081542969,1,0.007504836808808868,0.9213331643436012,0.8459220026221553
2023-04-19,165.0841064453125,165.60605581206516,163.0258371209191,163.28189796071484,47720200,0.006967925057948188,160.23982009887695,153.68318725585937,1,0.006967925057948188,0.9277529447861497,0.851816323741296
2023-04-20,164.11900329589844,165.3204757933169,163.04556123695718,163.56751067945328,52456400,-0.005846130013332118,160.67412261962892,153.92418609619142,1,-0.005846130013332118,0.9223291804506781,0.8468364947652258
2023-04-21,162.51377868652344,163.9220534848416,161.9918292131701,162.54332186221907,58337300,-0.009780857652912145,160.9739990234375,154.18676940917967,1,-0.009780857652912145,0.9133080100275629,0.8385537075546361
